TIME,PLAYERS
1618446911853,204
1618447206424,204
1618447505893,206
1618447806628,211
1618448110988,215
1618448410759,225
1618448706115,218
1618449005700,228
1618449306360,223
1618449606088,220
1618449905524,232
1618450206415,227
1618450505769,226
1618450806315,225
1618451107166,234
1618451407453,214
1618451706890,224
1618452006878,215
1618452306258,203
1618452605833,206
1618452906583,197
1618453206310,208
1618453511785,212
1618453807445,206
1618454105817,201
1618454406474,211
1618454706240,198
1618455005631,192
1618455306438,190
1618455906151,186
1618456205751,187
1618456511609,189
1618456806502,198
1618457105862,206
1618457406524,202
1618457706315,195
1618458005871,193
1618458306593,195
1618458610898,189
1618458906354,183
1618459206094,172
1618459507215,168
1618459805838,165
1618460106437,169
1618460406183,180
1618460705696,176
1618461006452,171
1618461306010,164
1618461610703,171
1618461906418,168
1618462206033,174
1618462505723,168
1618462806333,158
1618463106060,153
1618463405555,146
1618463706570,141
1618464005945,146
1618464306669,140
1618464606436,145
1618464905960,147
1618465205537,133
1618465508442,134
1618465811141,134
1618466105815,128
1618466408026,133
1618466705818,141
1618467006451,137
1618467312141,132
1618467605819,139
1618467907537,142
1618468207592,142
1618468511929,141
1618468807844,138
1618469107719,136
1618469406402,141
1618469706426,138
1618470007518,138
1618470306609,142
1618470606169,137
1618470907532,134
1618471206449,139
1618471506353,134
1618471806946,131
1618472107431,138
1618472406168,131
1618472706364,132
1618473006350,124
1618473306329,124
1618473607513,127
1618473906331,124
1618474206341,128
1618474506817,132
1618474807258,134
1618475105754,144
1618475407817,131
1618475711764,129
1618476007189,134
1618476306725,129
1618476606664,129
1618476906691,131
1618477207555,136
1618477507810,136
1618477806739,132
1618478111972,134
1618478406125,137
1618478705921,138
1618479012059,131
1618479306459,133
1618479606679,131
1618479907800,137
1618480207451,131
1618480506362,127
1618480807322,119
1618481106406,121
1618481406949,123
1618481708501,128
